feature,importance,std
corr_forehead__left_cheek,0.503125,0.03549317716125171
hr_forehead,0.0,0.0
snr_forehead,0.0,0.0
hr_stability_mean,0.0,0.0
hr_consensus_bpm,0.0,0.0
plv_forehead__left_cheek,0.0,0.0
plv_forehead__right_cheek,0.0,0.0
corr_forehead__right_cheek,0.0,0.0
plv_left_cheek__right_cheek,0.0,0.0
corr_left_cheek__right_cheek,0.0,0.0
plv_within_face_mean,0.0,0.0
plv_within_face_min,0.0,0.0
corr_within_face_mean,0.0,0.0
plv_forehead__neck,0.0,0.0
plv_left_cheek__neck,0.0,0.0
plv_right_cheek__neck,0.0,0.0
plv_face_neck_mean,0.0,0.0
corr_face_neck_mean,0.0,0.0
hr_gap_face_neck,0.0,0.0
hr_spread_bpm,0.0,0.0
hr_std_bpm,0.0,0.0
periodicity_mean,0.0,0.0
entropy_mean,0.0,0.0
snr_min,0.0,0.0
hr_right_cheek,0.0,0.0
entropy_forehead,0.0,0.0
periodicity_forehead,0.0,0.0
hr_stability_forehead,0.0,0.0
hr_left_cheek,0.0,0.0
snr_left_cheek,0.0,0.0
entropy_left_cheek,0.0,0.0
periodicity_left_cheek,0.0,0.0
hr_stability_left_cheek,0.0,0.0
snr_right_cheek,0.0,0.0
snr_mean,0.0,0.0
entropy_right_cheek,0.0,0.0
periodicity_right_cheek,0.0,0.0
hr_stability_right_cheek,0.0,0.0
hr_neck,0.0,0.0
snr_neck,0.0,0.0
entropy_neck,0.0,0.0
periodicity_neck,0.0,0.0
hr_stability_neck,0.0,0.0
coherence_score,0.0,0.0
