protocol,family,model,group,auc,accuracy,n_train,n_test,n_positive_test
random,quality,gb,all,0.95,0.96,100,100,80
logo,quality,gb,drifting,1.0,1.0,76,24,20
logo,quality,gb,incoherent,0.575,0.22727272727272727,78,22,20
logo,quality,gb,nopulse,1.0,0.9655172413793104,71,29,20
logo,quality,gb,swap,0.89,0.96,75,25,20
logo,quality,gb,MEAN,0.8662500000000001,0.7881974921630094,0,0,0
random,coherence,gb,all,1.0,1.0,100,100,80
logo,coherence,gb,drifting,1.0,1.0,76,24,20
logo,coherence,gb,incoherent,0.925,0.8636363636363636,78,22,20
logo,coherence,gb,nopulse,1.0,1.0,71,29,20
logo,coherence,gb,swap,1.0,1.0,75,25,20
logo,coherence,gb,MEAN,0.98125,0.9659090909090909,0,0,0
random,all,gb,all,1.0,1.0,100,100,80
logo,all,gb,drifting,1.0,1.0,76,24,20
logo,all,gb,incoherent,0.575,0.22727272727272727,78,22,20
logo,all,gb,nopulse,1.0,1.0,71,29,20
logo,all,gb,swap,1.0,1.0,75,25,20
logo,all,gb,MEAN,0.89375,0.8068181818181819,0,0,0
random,quality,logreg,all,0.9868750000000001,0.96,100,100,80
logo,quality,logreg,drifting,1.0,1.0,76,24,20
logo,quality,logreg,incoherent,0.55,0.13636363636363635,78,22,20
logo,quality,logreg,nopulse,1.0,1.0,71,29,20
logo,quality,logreg,swap,1.0,0.92,75,25,20
logo,quality,logreg,MEAN,0.8875,0.764090909090909,0,0,0
random,coherence,logreg,all,1.0,1.0,100,100,80
logo,coherence,logreg,drifting,1.0,1.0,76,24,20
logo,coherence,logreg,incoherent,1.0,1.0,78,22,20
logo,coherence,logreg,nopulse,1.0,1.0,71,29,20
logo,coherence,logreg,swap,1.0,1.0,75,25,20
logo,coherence,logreg,MEAN,1.0,1.0,0,0,0
random,all,logreg,all,1.0,1.0,100,100,80
logo,all,logreg,drifting,1.0,1.0,76,24,20
logo,all,logreg,incoherent,1.0,1.0,78,22,20
logo,all,logreg,nopulse,1.0,1.0,71,29,20
logo,all,logreg,swap,1.0,1.0,75,25,20
logo,all,logreg,MEAN,1.0,1.0,0,0,0
